Comment,Designator,Footprint,LCSC
1k,"R1,R4,R7",R_0402_1005Metric,C11702
500mA,F1,Fuse_0402_1005Metric,C136320
100nF,"C11,C12,C13,C14,C15,C16,C17,C5,C7,C8",C_0402_1005Metric,C1525
10uF,C9,C_0402_1005Metric,C15525
20pF,"C3,C4",C_0402_1005Metric,C1554
USB_C_12P,USB1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
RP2040,U1,RP2040-QFN-56,C2040
27,"R2,R3",R_0603_1608Metric,C25190
5.1k,"R5,R6",R_0402_1005Metric,C25905
Hall_Sensor,"K1,K2,K3",SOT-23,C2904393
1uF,"C1,C10,C2,C6",C_0402_1005Metric,C52923
XC6206PxxxMR,U3,SOT-23,C5446
SRV05-4,U2,SOT-23-6-routable,C85364
12MHZ,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002
W25Q128JVS,U4,SOIC-8_5.23x5.23mm_P1.27mm,C97521
